candidate_id,proposed_date,region_code,asset_name,asset_class,cause,confidence_or_status,research_status,decision_reason,source_urls
cur-stalnoy-kon-2025-03-11,2025-03-11,RU-ORL,Stalnoy Kon LPDS (Druzhba),pipeline_oil,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://euromaidanpress.com/2025/03/11/moscow-oil-refinery-and-druzhba-pipeline-targeted-in-drone-attack-ukraines-military-says/
cur-stalnoy-kon-2025-09-07,2025-09-07,RU-ORL,Stalnoy Kon LPDS (Druzhba),pipeline_oil,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://newsukraine.rbc.ua/news/ukrainian-forces-struck-russia-s-stalnoy-1757233532.html
cur-liskinskaya-2025-01-16,2025-01-16,RU-VOR,Liskinskaya oil depot,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/ukrainian-drones-hit-russian-oil-depot-in-voronezh-oblast-military-claims/
cur-kropotkinskaya-2025-02-17,2025-02-17,RU-KDA,Kropotkinskaya pumping station (CPC),pipeline_oil,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2025/02/17/ukrainian-drones-hit-major-pipeline-in-southern-russia-disrupting-oil-supplies-a88043
cur-adler-depot-2025-08-03,2025-08-03,RU-KDA,Adler (Sochi) fuel depot,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.aljazeera.com/news/2025/8/3/ukrainian-drone-attack-sparks-fire-at-oil-depot-in-sochi-southwest-russia
cur-lyudinovo-2025-01-17,2025-01-17,RU-KLU,Lyudinovo oil depot,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/fire-erupts-at-oil-depot-in-russias-kaluga-oblast-following-drone-attack/
cur-smolensk-depots-2024-04-24,2024-04-24,RU-SMO,Yartsevo and Razdorovo fuel depots,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.rferl.org/a/energy-facilities-on-fire-in-russia-smolensk/32918374.html
cur-engels-kristall-2025-01-08,2025-01-08,RU-SAR,Kristall / Engels oil depot,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.cnn.com/2025/01/08/europe/ukraine-russia-engels-saratov-oil-depot-drone-intl/index.html
cur-novozybkov-druzhba-2024-12-30,2024-12-30,RU-BRY,Druzhba pipeline site near Novozybkov,pipeline_oil,kinetic_strike,probable,accepted,"net-new, credibly sourced, in-scope",https://uawire.org/russian-media-reports-ukrainian-drone-strike-on-druzhba-oil-pipeline-in-bryansk-region
cur-sheskharis-2025-11-14,2025-11-14,RU-KDA,Novorossiysk / Sheskharis oil terminal,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2025/11/17/novorossiysk-oil-terminal-resumes-operations-after-ukrainian-attack-a91140
cur-feodosia-2025-10-06,2025-10-06,UA-CR,Feodosia oil terminal,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/a-day-after-ukrainian-drone-strike-russias-largest-oil-terminal-in-occupied-crimea-is-still-on-fire/
cur-feodosia-2025-10-13,2025-10-13,UA-CR,Feodosia oil terminal,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2025/10/13/ukrainian-drone-strike-sets-fire-at-crimean-oil-depot-for-second-time-in-a-week-a90791
cur-hvardiiske-2025-10-17,2025-10-17,UA-CR,Hvardiiske (ATAN) oil depot,oil_terminal,kinetic_strike,probable,accepted,"net-new, credibly sourced, in-scope",https://newsukraine.rbc.ua/news/drone-strikes-hit-crimea-overnight-hvardiiske-1760674700.html
cur-hvardiiske-2025-10-29,2025-10-29,UA-CR,Hvardiiske / Simferopol oil depots,oil_terminal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.ukrinform.net/rubric-ato/4052697-crimea-attacked-by-drones-oil-depots-on-fire-in-hvardiiske-and-simferopol.html
cur-orenburg-gpp-2025-10-19,2025-10-19,RU-ORE,Orenburg Gas Processing Plant,gas_processing,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.ukrinform.net/rubric-ato/4048945-drone-strike-hits-orenburg-gas-processing-plant-in-russia.html
cur-orenburg-gpp-2025-12-25,2025-12-25,RU-ORE,Orenburg GPP + helium plant,gas_processing,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.ukrinform.net/rubric-ato/4137132-general-staff-confirms-strikes-on-gas-processing-plant-and-russias-only-helium-plant-in-orenburg-region.html
cur-astrakhan-gpp-2026-05-13,2026-05-13,RU-AST,Astrakhan Gas Processing Plant,gas_processing,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2026/05/13/ukrainian-drone-attack-sparks-fire-at-gas-plant-in-astrakhan-region-a92742
cur-ustluga-novatek-2026-03-24,2026-03-24,RU-LEN,Novatek Ust-Luga gas-condensate/LNG complex,gas_processing,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://militarnyi.com/en/news/drones-strike-gazprom-ust-luga-russia-s-largest-baltic-gas-plant/
cur-novocherkassk-gres-2025-07-23,2025-07-23,RU-ROS,Novocherkassk GRES,power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://militarnyi.com/en/news/drones-attack-novocherkassk-power-plant-in-rostov-region/
cur-klintsy-chp-2025-10-06,2025-10-06,RU-BRY,Klintsy CHP,power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://newsukraine.rbc.ua/news/bryansk-region-power-plant-on-fire-following-1759704963.html
cur-oryol-chp-2025-10-31,2025-10-31,RU-ORL,Oryol (Orel) CHP,power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/drone-strike-damages-thermal-power-plant-in-russias-oryol-oblast-governor-says/
cur-kostroma-gres-2025-11-06,2025-11-06,RU-KOS,Kostroma GRES (Volgorechensk),power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2025/11/06/1-killed-power-plant-and-refinery-hit-by-overnight-ukrainian-drone-strikes-a91056
cur-belgorod-luch-2026-02-07,2026-02-07,RU-BEL,Belgorod 'Luch' CHP,power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://militarnyi.com/en/news/ukraine-missile-strike-belgorod-power-plant/
cur-kursk-npp-2025-08-24,2025-08-24,RU-KRS,Kursk NPP auxiliary transformer,power_plant_nuclear,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.rferl.org/a/kursk-nuclear-power-plant-fire-ukraine-drone/33511527.html
cur-balashovskaya-2025-10-16,2025-10-16,RU-VGG,Balashovskaya substation,substation,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/russian-electrical-substation-ablaze-in-volgograd-oblast-after-drone-strike-governor-says/
cur-vladimirskaya-2025-10-31,2025-10-31,RU-VLA,Vladimirskaya substation (Energetik),substation,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.kyivpost.com/post/63655
cur-belgorod-michurinskaya-2026-02-22,2026-02-22,RU-BEL,Michurinskaya CHP substation,substation,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2026/02/23/ukrainian-drone-and-missile-strikes-disrupt-power-heating-water-in-belgorod-region-a92022
cur-crimea-kafa-simferopol-2025-10-12,2025-10-12,UA-CR,Kafa (Feodosia) + Simferopol substations,substation,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.ukrinform.net/rubric-ato/4046733-sbu-sof-drones-strike-oil-terminal-several-power-substations-in-crimea.html
cur-crimea-kerch-tpp-2026-06-23,2026-06-23,UA-CR,Kerch TPP,power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://militarnyi.com/en/news/ukraine-oil-gas-power-infrastructure-crimea/
cur-crimea-sakskaya-2026-06-28,2026-06-28,UA-CR,Sakskaya CHPP (Saky),power_plant_thermal,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://militarnyi.com/en/news/saky-thermal-power-plant-in-crimea-on-fire-after-drone-strike/
cur-crimea-simferopolska-2026-07-05,2026-07-05,UA-CR,Simferopolska 330 kV substation,substation,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.pravda.com.ua/eng/news/2026/07/06/8042631/
cand-adler-depot-2025-07-24,2025-07-24,RU-KDA,Lukoil-Yugnefteprodukt Adler depot,oil_terminal,kinetic_strike,hold,hold,name collision with the Stavropol Yugnefteprodukt depot already in corpus; verify these are distinct before ingest,
cand-kursk-gas-station-2025-08-23,2025-08,RU-KRS,Gazprom Transgaz Moscow LPU (Medvensky),pipeline_gas,kinetic_strike,hold,hold,day stated but year only inferred from the strike wave; needs a dated primary source,
cand-belgorod-gas-pipeline-2026-07-07,2026-07-07,RU-BEL,Belgorod gas-pipeline facility,pipeline_gas,kinetic_strike,hold,hold,single-source; corroborate before ingest,
cand-korenevo-substation-2025-11-08,2025-11-08,RU-KRS,Korenevo district substation,substation,kinetic_strike,hold,hold,possible overlap with the 2025-11-20 Kursk border-district / Zheleznogorsk cluster; de-duplicate first,
cand-kursk-oil-depot-2024-07-28,2024-07-28,RU-KRS,Kursk oil depot,oil_terminal,kinetic_strike,hold,hold,only a passing wire reference; needs a primary source,
cand-russkaya-turkstream-2026,2026-03,RU-KDA,Russkaya / Blue Stream compressor stations,pipeline_gas,kinetic_strike,rejected,rejected,Russia says the drone attacks were repelled and Ukraine has not confirmed any disruption; no confirmed impairment to score,
cand-bryansk-sabotage-2026-01-18,2026-01-18,RU-BRY,Substation near Bolshoe Polpino,substation,sabotage,rejected,rejected,"partisan-claim only (Atesh, Telegram); below the project's sourcing floor and unconfirmed by any independent source",
cand-mozyr-2024-07,2024-07,BY-HO,Mozyr refinery,refinery,technical,rejected,rejected,"a weather/storm-caused outage, not a strike or facility accident; out of scope",
