incident_id,recovery_status,recovery_kind,source_confidence,source_quality,observed_date,observed_days,partial_operations_resumed_at,partial_or_full,est_lower_days,est_central_days,est_upper_days,estimate_basis,estimate_method,what_source_establishes,source_types,source_urls
cur-2026-07-21-crimea-grid,partial_restart,partial_line_energised,medium,national_regional,,,2026-07-21,partial,,,,,,"Following the 21 July 2026 strikes on the Zorya, Morske and Gaspra substations, the 110 kV Gaspra substation was hit and power was briefly lost before being partially restored; operator Krymenergo said the Gaspra facility was undergoing major reconstruction. A same-night partial re-energisation of supply while the struck node stayed out of service / under reconstruction. observed_days left blank: supply, not the substation, was restored.",news_outlet,https://mezha.net/eng/bukvy/3c85590c_attacks_hit_crimea/
cur-orsk-2026-08-11,impaired,primary_unit_offline,high,national_regional,,,,,120,150,180,"Orenburg Governor Yevgeny Solntsev: the Orsknefteorgsintez primary refining unit was fully shut after the 10-11 Aug 2026 strike; because the damaged equipment is imported and under sanctions, repairs could take UP TO six months. Encoded as a 120-180 day band (central 150) with 180 as the stated ceiling.",official_statement,Orsk refinery fully shut down after the 10-11 Aug 2026 drone strike damaged its primary refining unit; the Orenburg governor publicly estimated repairs could take up to six months owing to sanctioned imported equipment. An estimate with no confirmed restart as of the as-of date.,news_outlet,https://www.themoscowtimes.com/2026/08/13/orsk-refinery-shutters-for-6-months-after-ukrainian-attack-a93489|https://meduza.io/en/news/2026/08/13/ukrainian-drone-strike-fully-shuts-down-oil-refinery-russia-s-orsk-governor-says-repairs-could-take-6-months
gazprom-neftekhim-salavat:2026-07-13,substantially_restored,unit_restarted,medium,major_wire,2026-07-20,7,,substantial,,,,,,"The 13-14 July 2026 strike paused Gazprom Neftekhim Salavat, shutting two crude distillation units. Interfax (relayed ~20 July) reported the complex back in operation with damaged facilities restored -- the units repaired and the plant resumed ~a week after the strike. A same-day CGTN headline framed it as SOME facilities restored, hence substantially rather than fully.",news_agency|news_outlet,https://www.devdiscourse.com/article/science-environment/3952806-rapid-recovery-gazprom-neftekhim-salavat-rebounds-after-drone-strike|https://news.cgtn.com/news/2026-07-20/news-1OVQtkiGJMs/p.html
volgograd-refinery:2026-06-01,substantially_restored,throughput_restored,medium,major_wire,,,,substantial,,,,,,"Reuters/Rigzone reporting tied to the next (31 July 2026) strike states the LUKOIL Volgograd refinery had only recently restored throughput, nearly recovering its runs to levels seen before earlier strikes, a lull having let drone-hit refineries complete repairs. Confirms substantial recovery of runs after the late-May/early-June strike, before 31 July; no exact restart date given (observed_days blank).",news_agency|news_outlet,https://www.rigzone.com/news/wire/ukraine_says_it_attacked_lukoil_refinery-31-jul-2026-184265-article/
ust-luga-multimodal-complex-ust-luga-oil-jsc-terminal-nevska:2025-08-24,fully_reconstituted,unit_rebuilt,high,major_wire,2025-11-11,79,2025-08-26,full,,,,,,"After the 24 Aug 2025 strike damaged Novatek's Ust-Luga gas-condensate complex (three fractionation units), recovery was staged: unit 1 restarted at full capacity 26 Aug, the second resumed in September, the third came back in early November. By ~11 Nov 2025 daily processing reached ~27,000 t/day, matching all three units -- full restoration of the damaged units, not merely rerouted loadings.",news_agency|news_outlet,https://hydrocarbonprocessing.com/news/2025/11/novatek-has-fully-restored-operations-at-ust-lugas-condensate-complex/|https://oilprice.com/Latest-Energy-News/World-News/Novatek-Restarts-Oil-Export-Unit-After-Drone-Attack.html
ust-luga-multimodal-complex-ust-luga-oil-jsc-terminal-nevska:2026-03-31,partial_restart,loadings_resumed,medium,major_wire,2026-04-04,,2026-04-04,partial,,,,,,"After the late-March 2026 drone attacks (reported to have destroyed at least one oil-loading berth), Bloomberg/Fortune reported Ust-Luga resumed crude loading after days of disruptions, an Aframax starting a cargo on 4 April; the crude terminal looked undamaged in satellite images. Loadings resuming within days (flow restored) rather than confirmed repair of the damaged berth -- a partial restart. observed_days blank: the damaging strikes were 25-27 March, so a count from the 31 March label would mislead.",news_agency|news_outlet,https://fortune.com/2026/04/05/russia-baltic-port-ust-luga-crude-loading-ukraine-drone-attacks/
cur-2024-07-16-rostov-npp,substantially_restored,service_restored,high,national_regional,2024-07-17,1,,substantial,,,,,,"Rostov NPP unit auto-shut on 16 Jul 2024 after a turbine safety-system fault Rosenergoatom called a false alarm; the Moscow Times reported power was restored the next day (~1 day). Service restoration of a briefly tripped unit, not repair of destroyed equipment.",news_outlet,https://www.themoscowtimes.com/2024/07/17/power-restored-at-russian-nuclear-plant-after-widespread-outages-a85737
cur-orenburg-gpp-2025-10-19,partial_restart,partial_operations_resumed,high,major_wire,2025-10-22,3,2025-10-22,partial,,,,,,"Reuters (industry sources) + Interfax (Kazakh energy ministry): after the 19 Oct 2025 strike the Orenburg GPP resumed the first of three processing lines on 22 Oct (3 days, ~200,000 m3/h vs ~840,000 normal); line 2 on 1 Nov, line 3 mid-December. A staged restart of the damaged plant's OWN processing lines (facility/unit recovery), not a flow reroute.",news_agency|news_outlet,"https://interfax.com/newsroom/top-stories/114431/|https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3WI0F8:0-russia-s-orenburg-plant-cranks-up-gas-intake-from-kazakhstan-sources-say/"
cur-kursk-npp-2025-08-24,substantially_restored,capacity_restored,medium,major_wire,2025-08-31,7,,substantial,,,,,,"Al Jazeera: the 24 Aug 2025 drone detonation damaged an auxiliary transformer and cut Kursk NPP reactor No. 3 to 50%. TASS (reported 31 Aug, ~7 days later) said capacity was completely restored. Restores generating OUTPUT to full; the source does NOT state the damaged transformer itself was repaired vs bypassed to a reserve, so substantially_restored not fully_reconstituted. (Restoration article bodies were 403 to direct fetch; wording from the syndicated TASS wire lede.)",news_agency|news_outlet,https://www.aljazeera.com/news/2025/8/24/russia-accuses-ukraine-of-attacking-nuclear-plant-causing-a-fire|https://english.alarabiya.net/News/world/2025/08/31/russia-restores-capacity-at-kursk-nuclear-plant-s-reactor-
cur-balashovskaya-2025-10-16,partial_restart,grid_reenergised,medium,national_regional,,,2025-10-16,partial,,,,,,"Astra (relaying district head Sergey Paramonov): after the 16 Oct 2025 strike on the 1523 MVA Balashovskaya substation, supply was restored to ~70% of rural residents and ~50% of Novonikolaevsky by 09:30 the same morning while the fire was fought. Partial SUPPLY re-energisation, not repair of the substation, which stayed damaged and was struck again ~25 Oct. observed_days blank: the node was not reconstituted.",news_outlet,https://astra.press/english/2025/10/16/10560/
cur-oryol-chp-2025-10-31,partial_restart,grid_reenergised,low,national_regional,,,2025-10-31,partial,,,,,,"Kyiv Independent (relaying Oryol governor Klychkov): after the 31 Oct 2025 strike on the Oryol CHP (open-switchgear hit, city blackouts), power was 'almost completely restored' the same day with repairs ongoing. Same-day SUPPLY restoration around a still-damaged plant (governor's claim, disputed by Astra OSINT), not confirmed repair. observed_days blank.",news_outlet,https://kyivindependent.com/drone-strike-damages-thermal-power-plant-in-russias-oryol-oblast-governor-says/
cur-2022-12-20-urengoy,partial_restart,flow_rerouted,high,secondary_aggregation,,,2022-12-20,partial,,,,,,"Gazprom (via Wikipedia): after the 20 Dec 2022 explosion on the Urengoy-Pomary-Uzhhorod line the damaged section was contained and gas was supplied to consumers in full THROUGH PARALLEL PIPELINES. This is flow rerouting around the damaged section, not confirmed repair of the struck segment (repair timeline not stated) -- the Unecha pattern. Gas pipeline: unscored sector, no ESDI effect.",encyclopaedia|news_outlet,https://en.wikipedia.org/wiki/2022_Urengoy%E2%80%93Pomary%E2%80%93Uzhhorod_pipeline_explosion
