subject,relation,object,at_point,substance,source_quality,source_url,note,subject_id,object_id,node_id
GRYAZOVETS_VYBORG,connects_to,NORD_STREAM_1,Portovaya CS,gas,secondary_citing_operator,https://www.gem.wiki/Nord_Stream_Gas_Pipeline,,GRYAZOVETS_VYBORG,NORD_STREAM_1,NODE_PORTOVAYA
GRYAZOVETS_VYBORG,branch_of,NORTHERN_LIGHTS,,gas,encyclopedic,https://en.wikipedia.org/wiki/Gryazovets%E2%80%93Vyborg_gas_pipeline,,GRYAZOVETS_VYBORG,,
NORD_STREAM_1,connects_to,OPAL,Greifswald,gas,secondary_citing_operator,https://www.gem.wiki/Nord_Stream_Gas_Pipeline,,NORD_STREAM_1,,NODE_GREIFSWALD
NORD_STREAM_1,connects_to,NEL,Greifswald,gas,secondary_citing_operator,https://www.gem.wiki/Nord_Stream_Gas_Pipeline,,NORD_STREAM_1,,NODE_GREIFSWALD
NORD_STREAM_2,originates_at,SLAVYANSKAYA_CS_UST_LUGA,Ust-Luga,gas,secondary_citing_operator,https://www.gem.wiki/Nord_Stream_Gas_Pipeline,never entered service,NORD_STREAM_2,,NODE_UST_LUGA
URENGOY_POMARY_UZHHOROD,crosses_border_RU_UA,UKRAINE_GTS,Sudzha GMS,gas,secondary_citing_operator,https://www.gem.wiki/Urengoy-Pomary-Uzhgorod_Gas_Pipeline,transit zero since 2025-01-01,URENGOY_POMARY_UZHHOROD,,NODE_SUDZHA
UKRAINE_GTS,enters_network_of,SLOVAKIA,Velke Kapusany,gas,tso_primary,https://www.eustream.sk/en/about-us/press/news/zastavenie-toku-zemneho-plynu-z-ukrajiny-vstupnom-bode-velke-kapusany-ukrajinsko-slovenskej-hranici.html,Eustream confirms halt,,,NODE_VELKE_KAPUSANY
URENGOY_PETROVSK,connects_to,PETROVSK_NOVOPSKOV,Petrovsk,gas,secondary,https://www.gem.wiki/Petrovsk-Novopskov_Gas_Pipeline,,,,
PETROVSK_NOVOPSKOV,crosses_border_RU_UA,UKRAINE_GTS,Pisarevka GMS,gas,secondary,https://www.gem.wiki/Petrovsk-Novopskov_Gas_Pipeline,,,,NODE_PISAREVKA
SOYUZ,crosses_border_RU_UA,UKRAINE_GTS,Sokhranovka,gas,secondary_citing_operator,https://www.gem.wiki/Soyuz_Gas_Pipeline,mothballed as of 2023-08,SOYUZ,,NODE_SOKHRANOVKA
SOYUZ,connects_to,NORTHERN_LIGHTS_IVATSEVICHY_KOBRYN_DOLYNA,Dolyna,gas,secondary_citing_operator,https://www.gem.wiki/Soyuz_Gas_Pipeline,,SOYUZ,,NODE_DOLYNA
SOYUZ,connects_to,ORENBURG_NOVOPSKOV,,gas,secondary_citing_operator,https://www.gem.wiki/Soyuz_Gas_Pipeline,,SOYUZ,,
CENTRAL_ASIA_CENTER,connects_to,SOYUZ,Alexandrov Gay,gas,encyclopedic,https://en.wikipedia.org/wiki/Central_Asia%E2%80%93Center_gas_pipeline_system,corroborated by Soyuz route,CENTRAL_ASIA_CENTER,SOYUZ,NODE_ALEXANDROV_GAY
CENTRAL_ASIA_CENTER,connects_to,ORENBURG_NOVOPSKOV,Alexandrov Gay,gas,encyclopedic,https://en.wikipedia.org/wiki/Central_Asia%E2%80%93Center_gas_pipeline_system,,CENTRAL_ASIA_CENTER,,NODE_ALEXANDROV_GAY
TURKSTREAM_STRING_1,connects_to,TURKISH_GAS_NETWORK,Luleburgaz,gas,operator_primary,http://turkstream.info/project/,operator states it directly,TURKSTREAM,,NODE_LULEBURGAZ
TURKSTREAM_STRING_2,terminates_at,TURKISH_BULGARIAN_BORDER,,gas,operator_primary,http://turkstream.info/project/,,TURKSTREAM,,
TURKSTREAM_STRING_2,connects_to,TRANS_BALKAN_SYSTEM,Malkoclar,gas,secondary_citing_operator,https://www.gem.wiki/TurkStream_Gas_Pipeline,,TURKSTREAM,,NODE_MALKOCLAR
BALKAN_STREAM,enters_network_of,BULGARIA,Strandzha 2 / Malkoclar,gas,secondary_citing_tso,https://www.gem.wiki/Balkan_Stream_gas_pipeline,citing Bulgartransgaz TYNDP,,,NODE_MALKOCLAR
BALKAN_STREAM,enters_network_of,SERBIA,Kireevo / Zaychar,gas,secondary_citing_tso,https://www.gem.wiki/Balkan_Stream_gas_pipeline,,,,NODE_KIREEVO
POWER_OF_SIBERIA,crosses_border_RU_CN,CHINA,Blagoveshchensk / Heihe,gas,encyclopedic,https://en.wikipedia.org/wiki/Power_of_Siberia,,POWER_OF_SIBERIA,,NODE_HEIHE
POWER_OF_SIBERIA,connects_to,CNPC_HEIHE_SHANGHAI,Heihe,gas,encyclopedic,https://en.wikipedia.org/wiki/Power_of_Siberia,,POWER_OF_SIBERIA,,NODE_HEIHE
BUKHARA_URAL,connects_to,URENGOY_CHELYABINSK,,gas,secondary,https://www.gem.wiki/Bukhara-Ural_Gas_Pipeline,,BUKHARA_URAL,,
BUKHARA_URAL,connects_to,ZHANAZHOL_AKTOBE,,gas,secondary,https://www.gem.wiki/Bukhara-Ural_Gas_Pipeline,,BUKHARA_URAL,,
BLUE_STREAM,connects_to,BOTAS_NETWORK,Samsun / Durusu,gas,encyclopedic,https://en.wikipedia.org/wiki/Blue_Stream,,BLUE_STREAM,,NODE_SAMSUN
DRUZHBA,splits_at,DRUZHBA_NORTH_AND_SOUTH,Mozyr,oil,encyclopedic,https://en.wikipedia.org/wiki/Druzhba_pipeline,,DRUZHBA,,NODE_MOZYR
DRUZHBA_NORTH,terminates_at,SCHWEDT,via Adamowo,oil,encyclopedic,https://en.wikipedia.org/wiki/Druzhba_pipeline,Russian crude halted; Kazakh crude since 2023-12,DRUZHBA_NORTH,,NODE_ADAMOWO
DRUZHBA_SOUTH,delivers_to,HUNGARY,Fenyeslitke,oil,operator_primary,https://molgroup.info/en/investor-relations/investor-news/first-batches-of-crude-oil-via-the-druzhba-pipeline-received-in-hungary-and-slovakia,MOL investor news,DRUZHBA_SOUTH,,NODE_FENYESLITKE
DRUZHBA_SOUTH,delivers_to,SLOVAKIA,Budkovce,oil,operator_primary,https://molgroup.info/en/investor-relations/investor-news/first-batches-of-crude-oil-via-the-druzhba-pipeline-received-in-hungary-and-slovakia,,DRUZHBA_SOUTH,,NODE_BUDKOVCE
BPS_2,connects_to,DRUZHBA,Unecha,oil,secondary,https://www.gem.wiki/Baltic_Pipeline_System_2,the link enabling redirection to seaborne export,BPS_2,DRUZHBA,NODE_UNECHA
BPS_2,terminates_at,UST_LUGA_TERMINAL,Ust-Luga,oil,secondary,https://www.gem.wiki/Baltic_Pipeline_System_2,,BPS_2,,NODE_UST_LUGA
BPS_2,branches_to,KIRISHI_REFINERY,,oil,secondary,https://www.gem.wiki/Baltic_Pipeline_System_2,,BPS_2,,
BPS_1,terminates_at,PRIMORSK_TERMINAL,Primorsk,oil,encyclopedic,https://en.wikipedia.org/wiki/Baltic_Pipeline_System,,BPS_1,,NODE_PRIMORSK
OMSK_IRKUTSK,connects_to,ESPO,Taishet,oil,secondary,https://www.gem.wiki/Omsk-Irkutsk_Oil_Pipeline,corroborated by ESPO-1 origin,OMSK_IRKUTSK,ESPO,NODE_TAISHET
ESPO_1,connects_to,ESPO_2,Skovorodino,oil,secondary,https://www.gem.wiki/Eastern_Siberia%E2%80%93Pacific_Ocean_Oil_Pipeline,,ESPO_1,ESPO_2,NODE_SKOVORODINO
SKOVORODINO_MOHE,branches_from,ESPO_1,Skovorodino,oil,secondary,https://www.gem.wiki/Eastern_Siberia%E2%80%93Pacific_Ocean_Oil_Pipeline,,SKOVORODINO_MOHE,ESPO_1,NODE_SKOVORODINO
SKOVORODINO_MOHE,crosses_border_RU_CN,CHINA,Mohe,oil,secondary,https://www.gem.wiki/Eastern_Siberia%E2%80%93Pacific_Ocean_Oil_Pipeline,,SKOVORODINO_MOHE,,NODE_MOHE
SKOVORODINO_MOHE,connects_to,CNPC_NETWORK,Daqing,oil,secondary,https://www.gem.wiki/Eastern_Siberia%E2%80%93Pacific_Ocean_Oil_Pipeline,second line from 2018-01-01,SKOVORODINO_MOHE,,NODE_DAQING
ESPO_2,terminates_at,KOZMINO_PORT,Kozmino,oil,secondary,https://www.gem.wiki/Eastern_Siberia%E2%80%93Pacific_Ocean_Oil_Pipeline,,ESPO_2,,NODE_KOZMINO
CPC,terminates_at,YUZHNAYA_OZEREYEVKA_MARINE_TERMINAL,Yuzhnaya Ozereyevka,oil,operator_primary,https://www.cpc.ru/EN/about/Pages/general.aspx,separate node from Transneft Sheskharis,CPC,,NODE_YUZHNAYA_OZEREYEVKA
CPC,receives_from,KASHAGAN,,oil,encyclopedic,https://en.wikipedia.org/wiki/Caspian_Pipeline_Consortium,since 2016-10-14,CPC,,
CPC,receives_from,KARACHAGANAK,,oil,encyclopedic,https://en.wikipedia.org/wiki/Caspian_Pipeline_Consortium,since 2016-10-14,CPC,,
TIKHORETSK_NOVOROSSIYSK_2,delivers_to,SHESKHARIS_COMPLEX,Novorossiysk,oil,secondary,https://www.gem.wiki/Tikhoretsk-Novorossiysk_Oil_Pipeline,,,,NODE_SHESKHARIS
TIKHORETSK_NOVOROSSIYSK_3,delivers_to,SHESKHARIS_COMPLEX,Novorossiysk,oil,secondary,https://www.gem.wiki/Tikhoretsk-Novorossiysk_Oil_Pipeline,,,,NODE_SHESKHARIS
KRYMSK_GRUSHOVAYA,delivers_to,GRUSHOVAYA_SITE,,oil,secondary,https://www.gem.wiki/Tikhoretsk-Novorossiysk_Oil_Pipeline,,,,
