asset_id,name,asset_class,region_code,capacity_mtpa,capacity_mw,status,operator,commissioning_year,source_url,note,capacity_bcm_y,capacity_basis,capacity_year,capacity_source,capacity_status
gpp-sibur-westsib,SIBUR West Siberian GPP complex,gas_processing,RU-KHM,,,operational,SIBUR,,https://www.ogj.com/refining-processing/article/17251051/sibur-boosts-capacity-at-western-siberian-gas-plant,"~21.5 bcm/y aggregate associated-gas processing (Nyagan, Belozerny, Nizhnevartovsk, Yuzhno-Balyk, Vyngapurovsky, Gubkinsky). Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.",21.5,raw_gas_aggregate,,https://www.ogj.com/refining-processing/article/17251051/sibur-boosts-capacity-at-western-siberian-gas-plant,aggregate
gpp-yuzhnopriobskiy,Yuzhno-Priobskiy GPP,gas_processing,RU-KHM,,,operational,SIBUR / Gazprom Neft,,https://www.gazprom-neft.com/press-center/news/gazprom-neft-and-sibur-bring-yuzhno-priobskiy-gas-processing-plant-into-production/,~0.9 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,0.9,raw_gas,,https://www.gazprom-neft.com/press-center/news/gazprom-neft-and-sibur-bring-yuzhno-priobskiy-gas-processing-plant-into-production/,sourced
gpp-lokosovsky,Lokosovsky GPP,gas_processing,RU-KHM,,,operational,LUKOIL,,https://www.lukoil.com/Business/Downstream/GasProcessing,~2.1 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,2.1,raw_gas,,https://www.lukoil.com/Business/Downstream/GasProcessing,sourced
gpp-perm,Perm refinery gas-processing complex,gas_processing,RU-PER,,,operational,LUKOIL,,https://www.lukoil.com/Business/Downstream/GasProcessing,~1.46 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,1.46,raw_gas,,https://www.lukoil.com/Business/Downstream/GasProcessing,sourced
gpp-stavrolen,Stavrolen gas-processing complex,gas_processing,RU-STA,,,operational,LUKOIL,,https://www.lukoil.com/Business/Downstream/GasProcessing,~2.2 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,2.2,raw_gas,,https://www.lukoil.com/Business/Downstream/GasProcessing,sourced
gpp-usinsky,Usinsky GPP,gas_processing,RU-KO,,,operational,LUKOIL,,https://www.lukoil.com/Business/Downstream/GasProcessing,~0.6 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,0.6,raw_gas,,https://www.lukoil.com/Business/Downstream/GasProcessing,sourced
gpp-korobkovsky,Korobkovsky GPP,gas_processing,RU-VGG,,,operational,LUKOIL,,https://www.lukoil.com/Business/Downstream/GasProcessing,~0.45 bcm/y. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,0.45,raw_gas,,https://www.lukoil.com/Business/Downstream/GasProcessing,sourced
gpp-neftegorsk,Neftegorsk + Otradnensky GPPs (Samara),gas_processing,RU-SAM,,,operational,Rosneft,,https://rosneft.com/about/Rosneft_today/Operational_structure/Refining/rnngpz/,~1.9 bcm/y combined. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,1.9,raw_gas_aggregate,,https://rosneft.com/about/Rosneft_today/Operational_structure/Refining/rnngpz/,aggregate
gpp-minnibaevo,Minnibaevo GPP,gas_processing,RU-TA,,,operational,Tatneft,,https://www.ogj.com/refining-processing/refining/optimization/article/14184961/tatneft-advances-modernization-of-minnebayevo-gas-plant,~0.2-0.7 bcm/y (figure uncertain). Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,0.45,raw_gas_midpoint,,https://www.ogj.com/refining-processing/refining/optimization/article/14184961/tatneft-advances-modernization-of-minnebayevo-gas-plant,uncertain
coal-kuzbassrazrezugol,Kuzbassrazrezugol (open-pit group),coal_mine,RU-KEM,,,operational,Kuzbassrazrezugol (UMMC),,https://en.wikipedia.org/wiki/Kuzbassrazrezugol,"~44 Mt/y (2022) thermal coal, Kuzbass. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-suek-kuzbass,SUEK-Kuzbass,coal_mine,RU-KEM,,,operational,SUEK,,https://www.statista.com/statistics/1066704/russia-leading-coal-producers-by-volume/,"Part of SUEK, Russia's largest coal producer. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-raspadskaya,Raspadskaya (coking coal),coal_mine,RU-KEM,,,operational,Raspadskaya / EVRAZ,,https://www.gem.wiki/Raspadskaya_Coal_Mine,"~4.6 Mt/y mine; EVRAZ coal ~23 Mt/y. Coking coal, Mezhdurechensk. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-borodinsky,Borodinsky (Borodino) surface mine,coal_mine,RU-KYA,,,operational,SUEK-Krasnoyarsk,,https://www.gem.wiki/Borodinsky_Coal_Mine,"~24.8 Mt/y (2024) lignite - largest surface mine in Russia, Kansk-Achinsk basin. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-vostsibugol,Vostsibugol (Cheremkhovugol) group,coal_mine,RU-IRK,,,operational,Kompaniya Vostsibugol (En+),,https://cyberleninka.ru/article/n/the-coal-industry-of-the-irkutsk-region-development-trends-and-challenges,~16.3 Mt/y (2024). Capacity in Mt/y coal (not a scored quantity). Admin-region precision.,,,,,
coal-vorkutaugol,Vorkutaugol (Pechora basin),coal_mine,RU-KO,,,operational,Vorkutaugol,,https://www.gem.wiki/Vorkutinskaya_coal_mine,"~9.7 Mt/y (2022) underground coking coal, Pechora basin. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-sibanthracite,Sibanthracite (Gorlovsky / Kolyvansky),coal_mine,RU-NVS,,,operational,Sibanthracite Group,,https://www.gem.wiki/Gorlovsky_Coal_Mine,"~7.7 Mt/y anthracite, open-pit. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-rosterminalugol,Rosterminalugol (Ust-Luga),coal_terminal,RU-LEN,,,operational,Rosterminalugol (SUEK-linked),,https://en.wikipedia.org/wiki/Rosterminalugol,~21.6 Mt coal (2022); largest dedicated coal terminal in NW Russia. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.,,,,,
coal-lavna,Lavna coal terminal,coal_terminal,RU-MUR,,,operational,Lavna / GTLK,2024,https://en.portnews.ru/news/387340/,Design ~18 Mt/y (launched 2024). Capacity in Mt/y coal (not a scored quantity). Admin-region precision.,,,,,
coal-murmansk-mmtp,Murmansk Commercial Sea Port (MMTP),coal_terminal,RU-MUR,,,operational,MMTP (SUEK-linked),,https://www.gem.wiki/Port_of_Murmansk,Multi-cargo port; coal transshipment declining. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.,,,,,
coal-taman-oteko,OTEKO Taman Bulk Cargo Terminal,coal_terminal,RU-KDA,,,operational,OTEKO Group,2019,https://www.gem.wiki/Port_Taman_Dry_Bulk_Terminal,~12 Mt coal (2024); design >60 Mt/y. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.,,,,,
coal-tuapse-coal,Tuapse coal handling (bulk terminal),coal_terminal,RU-KDA,,,operational,Tuapse Sea Port / NTK,,https://www.gem.wiki/Port_of_Tuapse,"~1.76 Mt coal (2023), part of an oil/bulk port. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
coal-azov,Port of Azov coal terminal,coal_terminal,RU-ROS,,,operational,Port of Azov,,https://www.gem.wiki/Port_of_Azov_Coal_Terminal,"~0.88 Mt coal (2023), river port. Capacity in Mt/y coal (not a scored quantity). Admin-region precision.",,,,,
refinery-novoshakhtinsk,Novoshakhtinsk Refinery,refinery,RU-ROS,8.568,,operational,Yug Energo,,https://en.wikipedia.org/wiki/List_of_oil_refineries,"Tracked refinery (in the national refining inventory). Added as a linkable asset so curated strike events contribute its full capacity as exposure, the same treatment wiki-sourced strikes get. Admin-region precision.",,,,,
refinery-orsk,Orsk Refinery (Orsknefteorgsintez),refinery,RU-ORE,5.659,,operational,Forteinvest,,https://en.wikipedia.org/wiki/List_of_oil_refineries,Tracked refinery (in the national refining inventory). Linkable asset for curated strike events. Admin-region precision.,,,,,
refinery-mari-el,Mari El Refinery (Mariysky),refinery,RU-ME,1.2,,operational,Mari Oil Refining Company,,https://en.wikipedia.org/wiki/List_of_oil_refineries,Tracked refinery (in the national refining inventory). Linkable asset for curated strike events. Admin-region precision.,,,,,
