incident_id,effect_type,evidence_kind,source_quality,value_numeric,value_unit,currency,cost_year,as_of_date,value_text,source_url
kirishi-refinery-kinef:2026-05-05,production_halt,observed,major_wire,350000,bbl_d,,,2026-05-06,"Moscow Times (Reuters/industry): Kirishi (KINEF) halted around 5 May 2026 after drones damaged three of its four crude distillation units plus secondary units; the plant handled ~7% of Russia's refining, ~350,000 bbl/d. Repair timeline unclear.",https://www.themoscowtimes.com/2026/05/06/leningrad-regions-kirishi-oil-refinery-halts-operations-after-drone-strike-reuters-a92696
kirishi-refinery-kinef:2025-10-04,throughput_reduction,observed,specialist_industry,40,pct,,,2025-10-04,"Ukrinform (industry data): the 4 Oct 2025 strike knocked out Kirishi's CDU-6 primary unit -- 8 Mt/yr (~160,000 bbl/d), ~40% of the refinery's capacity; a mid-September strike had damaged another unit. Plant processed 17.5 Mt in 2024, 6.6% of Russia's volume.",https://www.ukrinform.net/rubric-ato/4044461-russias-kirishi-refinery-halts-key-distillation-unit-after-drone-attack.html
ryazan-refinery:2025-01-24,production_halt,observed,major_wire,17,mt,,,2025-01-24,"Reuters (via Yahoo): after the 24 Jan 2025 strike Ryazan stopped oil processing and suspended all rail fuel loadings (a loading track and hydrotreater damaged); ~17 Mt/yr capacity, nearly 5% of Russia's refining in 2024.",https://www.yahoo.com/news/russias-ryazan-oil-refinery-suspends-233318896.html
ryazan-refinery:2026-05-15,production_halt,observed,major_wire,13.1,mt,,,2026-05-15,"Ukrinform (Reuters; units per Ukraine's General Staff): Ryazan suspended operations after the 15 May 2026 strike, which damaged the AVT-3, AVT-4 and AT-6 units and a diesel hydrotreater. Processed 13.1 Mt in 2024, ~5% of Russia's capacity.",https://www.ukrinform.net/rubric-ato/4125269-ryazan-oil-refinery-suspends-operations-after-ukrainian-drone-attack-reuters.html
novokuibyshevsk-refinery:2026-06-02,production_halt,observed,national_regional,8.8,mt,,,2026-06-10,Ukrainska Pravda (22 Aug 2026): a June 2026 drone attack on Rosneft's Novokuibyshevsk refinery (design ~8.8 Mt/yr) caused a temporary crude-processing suspension; an earlier April strike had shut units AVT-11 and AVT-9. (Reporting dates the June strike to 10 June vs the dataset's 2 June label; likely the same episode.),https://www.pravda.com.ua/eng/news/2026/08/22/8049777/
cur-novoshakhtinsk-2026-08-25,production_halt,observed,national_regional,,,,,2026-08-25,Moscow Times (Rostov region authorities): the Novoshakhtinsk refinery sustained damage and temporarily suspended processing after the 25 Aug 2026 drone attack. No throughput figure given.,https://www.themoscowtimes.com/2026/08/25/deadly-ukrainian-strikes-in-southern-russia-force-oil-refinery-to-shut-down-a93570
cur-crimea-kerch-tpp-2026-06-23,power_outage,observed,claim_only,50,pct,,,2026-06-23,"Kyiv Independent (Russian occupation spokesperson Kryuchkov): after the 23 Jun 2026 strikes (Kerch TPP fuel reservoirs, Simferopol gas distribution, West Crimea 330/110 kV substation), ~half the peninsula was left without electricity and rolling load-shedding introduced. A proxy PROPORTION claim, NOT a consumer/household count.",https://kyivindependent.com/half-of-crimea-without-electricity-after-ukrainian-strikes-russian-proxy-claims/
,war_effort_macro,observed,major_wire,17,pct,,,2025-08-26,"Reuters (26 Aug 2025): Ukrainian attacks had disrupted the operation of at least 17% of Russia's oil refining capacity, having recently targeted ten refineries and halting ~1.1 million bbl/d, amid peak seasonal demand.",https://www.yahoo.com/news/articles/ukraine-disrupted-17-russias-refining-095624733.html
,export_interruption,observed,government,,,,,2026-07-08,"Moscow Times: on 8 Jul 2026 Deputy PM Novak announced a ban on diesel exports (incl. producers) through 31 Jul 2026 to boost domestic supply after drone strikes. Seaborne diesel/gasoil exports had fallen to ~1.8 Mt in June (down 39% m/m, 46% y/y); early-July diesel exports ran ~187,000 bbl/d vs 535,000 a year earlier.",https://www.themoscowtimes.com/2026/07/08/russia-bans-diesel-exports-to-ensure-domestic-supply-after-targeted-ukrainian-drone-strikes-a93202
,export_interruption,observed,major_wire,80000,bbl_d,,,2026-08-13,"Bloomberg (13 Aug 2026, via Yahoo Finance): Russia's diesel and gasoil exports fell to just 80,000 bbl/d during 1-7 August 2026, the lowest in several years, versus as much as 1 million bbl/d a year earlier, as drone attacks forced refining capacity offline.",https://finance.yahoo.com/energy/articles/russia-diesel-exports-crash-multiyear-190000158.html
,price_move,observed,national_regional,77000,RUB_per_tonne,,,2025-08-04,"Yahoo (citing Kommersant): AI-95 gasoline on SPIMEX surged above 77,000 rubles/tonne (~$946.6) on 4 Aug 2025, a record, attributed to Ukrainian drone strikes on refineries incl. a 2 Aug strike in Ryazan Oblast.",https://www.yahoo.com/news/articles/russian-gasoline-prices-hit-record-221939595.html
