canonical_pipeline_id,canonical_name,aliases,commodity,subtype,entity_level,parent_id,operator,owner,countries,start_area,end_area,note
SAKHALIN_KHABAROVSK_VLADIVOSTOK,Sakhalin–Khabarovsk–Vladivostok,СХВ|Sakhalin-Khabarovsk-Vladivostok,gas,transmission,pipeline,,Gazprom,Gazprom,RU,Sakhalin,Vladivostok,
BUKHARA_URAL,Bukhara–Urals,Бухара — Урал|Buxoro — Ural|Bukhara-Ural,gas,import_trunk,corridor,,Gazprom/Uztransgaz,,UZ|KZ|RU,Gazli,Chelyabinsk/Yekaterinburg,Two lines BU-I and BU-II
CENTRAL_ASIA_CENTER,Central Asia–Center,Средняя Азия — Центр|CAC|САЦ|Central Asia–Center,gas,import_trunk,corridor,,Gazprom/Turkmengaz,,TM|UZ|KZ|RU,Dauletabad,Alexandrov Gay,
BOTAS_NETWORK,BOTAS national gas network,BOTAŞ Doğal Gaz Boru Hatları,gas,transmission_network,system,,BOTAS,BOTAS,TR,,,Turkish national network — a NETWORK not a single pipeline; OSM models it as one relation
DRUZHBA,Druzhba corridor,Дружба|Friendship Pipeline|Przyjaźń|Ropovod Družba|Barátság|Druzhba,oil,export_corridor,corridor,,Transneft and partners,,RU|BY|PL|DE|UA|SK|CZ|HU,Almetyevsk,Mozyr split,Quoted in barrels/day not Mt/y — do not convert silently
DRUZHBA_NORTH,Druzhba northern branch,Дружба север,oil,branch,branch,DRUZHBA,Transneft/Gomeltransneft/PERN,,BY|PL|DE,Mozyr,Schwedt,Carries Kazakh crude to Germany since Dec 2023
DRUZHBA_SOUTH,Druzhba southern branch,Дружба юг,oil,branch,branch,DRUZHBA,Transneft/UkrTransNafta/MOL,,BY|UA|SK|HU,Mozyr,Uzhhorod,Delivery points Fenyeslitke (HU) and Budkovce (SK)
ESPO,Eastern Siberia–Pacific Ocean,ВСТО|Восточная Сибирь - Тихий океан|ESPO|Eastern Siberia–Pacific Ocean,oil,export_corridor,corridor,,Transneft,Transneft,RU,Taishet,Kozmino,Total length contested 4740 vs 4857 km
ESPO_1,ESPO-1,ВСТО-1,oil,segment,pipeline,ESPO,Transneft-Vostok,Transneft,RU,Taishet,Skovorodino,2694 km / 80 Mt/y
ESPO_2,ESPO-2,ВСТО-2,oil,segment,pipeline,ESPO,Transneft-Vostok,Transneft,RU,Skovorodino,Kozmino,2046 km / 50 Mt/y
SKOVORODINO_MOHE,Skovorodino–Mohe,Сковородино — Мохэ,oil,branch,branch,ESPO,Transneft/CNPC,,RU|CN,Skovorodino,Mohe,30 Mt/y after second line from 2018-01-01
BPS_1,Baltic Pipeline System,БТС|BPS-1|Baltic Pipeline System 1,oil,export_trunk,pipeline,,Transneft,Transneft,RU,Timan-Pechora/Volga,Primorsk,Length not established from a primary source
BPS_2,Baltic Pipeline System 2,БТС-2|BPS-2|Unecha–Ust-Luga,oil,export_trunk,pipeline,,Transneft,Transneft,RU,Unecha,Ust-Luga,The link that let Druzhba-north volumes redirect to seaborne export
SURGUT_POLOTSK,Surgut–Polotsk,Сургут — Полоцк|Нафтаправод Сургут – Полацк,oil,transmission,pipeline,,Transneft,Transneft,RU|BY,Surgut,Polotsk,Capacity unverified; only figure found is implausible
OMSK_IRKUTSK,Omsk–Irkutsk,Омск — Иркутск,oil,transmission,pipeline,,Transneft,Transneft,RU,Omsk,Irkutsk,Links with ESPO at Taishet
CPC,Caspian Pipeline Consortium,КТК|CPC|Tengiz–Novorossiysk,oil,export_trunk,pipeline,,Caspian Pipeline Consortium,Consortium,KZ|RU,Tengiz field,Yuzhnaya Ozereyevka,Terminal is separate from Transneft Sheskharis; capacity contested 83 Mt/y vs 1.4 mb/d
