canonical_pipeline_id,alias,alias_type,language,source_url,source_date,note
CENTRAL_ASIA_CENTER,CAC,abbreviation,en,,,Standard abbreviation of the canonical or native name
CENTRAL_ASIA_CENTER,САЦ,abbreviation,ru,,,Standard abbreviation of the canonical or native name
CENTRAL_ASIA_CENTER,Central Asia–Center,translation,en,,,Direct translation of the native name
BOTAS_NETWORK,BOTAŞ Doğal Gaz Boru Hatları,native_name,tr,,,Name in the operator's own language
DRUZHBA,Дружба,native_name,ru,,,Name in the operator's own language
DRUZHBA,Friendship Pipeline,translation,en,,,Direct translation of the native name
DRUZHBA,Przyjaźń,native_name,pl,,,Name in the operator's own language
DRUZHBA,Ropovod Družba,native_name,sk,,,Name in the operator's own language
DRUZHBA,Barátság,native_name,hu,,,Name in the operator's own language
DRUZHBA,Druzhba,transliteration,en,,,Deterministic romanisation of the native name
DRUZHBA_NORTH,Дружба север,native_name,ru,,,Name in the operator's own language
DRUZHBA_SOUTH,Дружба юг,native_name,ru,,,Name in the operator's own language
ESPO,ВСТО,abbreviation,ru,,,Standard abbreviation of the canonical or native name
ESPO,Восточная Сибирь - Тихий океан,native_name,ru,,,Name in the operator's own language
ESPO,ESPO,abbreviation,en,,,Standard abbreviation of the canonical or native name
ESPO,Eastern Siberia–Pacific Ocean,translation,en,,,Direct translation of the native name
ESPO_1,ВСТО-1,abbreviation,ru,,,Standard abbreviation of the canonical or native name
ESPO_2,ВСТО-2,abbreviation,ru,,,Standard abbreviation of the canonical or native name
SKOVORODINO_MOHE,Сковородино — Мохэ,native_name,ru,,,Name in the operator's own language
BPS_1,БТС,abbreviation,ru,,,Standard abbreviation of the canonical or native name
BPS_1,BPS-1,abbreviation,en,,,Standard abbreviation of the canonical or native name
BPS_1,Baltic Pipeline System 1,project_name,en,gem:P0651,,GEM PipelineName
BPS_2,БТС-2,abbreviation,ru,,,Standard abbreviation of the canonical or native name
BPS_2,BPS-2,abbreviation,en,,,Standard abbreviation of the canonical or native name
SURGUT_POLOTSK,Сургут — Полоцк,native_name,ru,,,Name in the operator's own language
SURGUT_POLOTSK,Нафтаправод Сургут – Полацк,native_name,be,,,Name in the operator's own language
OMSK_IRKUTSK,Омск — Иркутск,native_name,ru,,,Name in the operator's own language
CPC,КТК,abbreviation,ru,,,Standard abbreviation of the canonical or native name
CPC,CPC,abbreviation,en,,,Standard abbreviation of the canonical or native name
